日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/05/12,"38,675,054","443,688,391",11.50,11.60,11.40,11.40,+0.15,"6,764"
105/05/13,"38,105,203","429,324,261",11.35,11.35,11.20,11.30,-0.10,"8,172"
105/05/16,"25,451,098","289,547,929",11.20,11.45,11.20,11.45,+0.15,"5,292"
105/05/17,"36,772,049","421,637,424",11.40,11.55,11.35,11.55,+0.10,"9,788"
105/05/18,"28,008,321","320,629,976",11.40,11.55,11.35,11.55, 0.00,"5,391"
105/05/19,"33,075,957","378,055,786",11.45,11.50,11.35,11.50,-0.05,"7,459"
105/05/20,"27,719,666","317,529,090",11.40,11.55,11.40,11.55,+0.05,"6,107"
105/05/23,"37,639,802","439,005,422",11.45,11.80,11.40,11.80,+0.25,"6,824"
105/05/24,"23,921,797","280,458,576",11.70,11.80,11.65,11.80, 0.00,"4,919"
105/05/25,"55,060,018","658,450,499",11.90,12.15,11.80,12.00,+0.20,"7,468"
105/05/26,"30,516,666","366,566,242",12.00,12.10,11.90,12.10,+0.10,"5,948"
105/05/27,"21,362,215","258,567,897",12.15,12.15,12.05,12.15,+0.05,"4,940"
105/05/30,"23,966,053","291,263,694",12.10,12.20,12.05,12.20,+0.05,"4,719"
105/05/31,"44,053,551","536,699,524",12.15,12.20,12.10,12.20, 0.00,"4,452"
105/06/01,"28,601,362","349,158,271",12.10,12.25,12.10,12.25,+0.05,"5,028"
105/06/02,"29,264,793","359,166,642",12.20,12.40,12.15,12.25, 0.00,"5,077"
105/06/03,"23,315,801","287,064,850",12.25,12.40,12.15,12.40,+0.15,"5,974"
105/06/04,"6,095,082","75,573,764",12.40,12.45,12.30,12.35,-0.05,"1,502"
105/06/06,"20,017,923","247,539,063",12.35,12.40,12.30,12.40,+0.05,"4,098"
105/06/07,"28,009,519","347,412,955",12.35,12.45,12.30,12.45,+0.05,"5,743"
105/06/08,"42,234,060","524,333,442",12.45,12.50,12.30,12.40,-0.05,"7,145"
105/06/13,"46,820,689","568,358,886",12.35,12.35,12.00,12.20,-0.20,"6,902"
105/06/14,"25,940,981","312,934,838",12.15,12.20,12.00,12.10,-0.10,"5,390"
105/06/15,"19,786,695","240,989,197",12.10,12.25,12.05,12.25,+0.15,"4,655"
105/06/16,"27,551,005","331,642,060",12.25,12.25,11.90,12.00,-0.25,"4,528"
105/06/17,"35,633,625","431,753,383",12.00,12.15,12.00,12.15,+0.15,"8,181"
105/06/20,"31,788,444","390,346,718",12.15,12.45,12.10,12.45,+0.30,"7,363"
105/06/21,"29,126,248","360,047,750",12.45,12.50,12.25,12.25,-0.20,"4,795"
105/06/22,"27,867,003","346,243,495",12.30,12.50,12.25,12.45,+0.20,"3,752"
105/06/23,"38,214,436","478,266,148",12.40,12.60,12.35,12.55,+0.10,"5,536"
105/06/24,"69,696,796","848,555,752",12.55,12.55,11.95,12.00,-0.55,"11,927"
105/06/27,"40,233,468","497,205,675",12.05,12.50,12.00,12.45,+0.45,"6,116"
105/06/28,"32,104,743","395,876,004",12.40,12.40,12.25,12.30,-0.15,"3,805"
105/06/29,"24,539,860","306,218,413",12.40,12.55,12.35,12.55,+0.25,"3,846"
105/06/30,"16,744,036","210,241,768",12.60,12.60,12.45,12.60,+0.05,"4,221"
105/07/01,"20,915,791","263,676,615",12.65,12.70,12.55,12.55,-0.05,"4,135"
105/07/04,"18,420,326","233,045,613",12.55,12.70,12.55,12.65,+0.10,"4,317"
105/07/05,"11,136,182","140,466,844",12.65,12.70,12.55,12.60,-0.05,"2,640"
105/07/06,"32,563,934","403,550,891",12.55,12.55,12.35,12.35,-0.25,"4,590"
105/07/07,"64,390,105","784,497,605",12.40,12.55,12.40,12.40,+0.05,"5,165"
105/07/11,"151,252,718","1,941,978,024",12.70,13.00,12.65,12.95,+0.55,"16,506"
